name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
"Instant cocoa or chocolate beverage, with sugar, fortified with vitamins and chemical elements, ready-to-drink (reconstituted with standard semi-skimm",4080,9910,1710,0,500,990,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00007
"Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink",1390,2310,760,2310,0,460,230,24,2.5,59,62.2,0.007,0.13,8.52,0.016,42.6,109,23.4,0.22,0.0095,0,0.000025,0.02,0,0.032,0.12,0.15,0.31,0.015,0.00281,0.00003
"Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)",3740,5900,1620,5000,460,1000,470,50,4.4,130,117,0,0.37,13.2,0,0,162,52.2,0.5,0.0179,0,0.00001,0.16,0,0.054,0.18,0.93,0.35,0.025,0.0026,0.00026
"Black tea, brewed, without sugar",0,300,7,0,0,2,1,4,0,7.5,0,0.01,0.02,3,0.22,1,37,3,0.02,0,0,0,0,0,0,0.014,0,0.011,0,0.005,0
"Green tea, brewed, without sugar",0,0,0,0,0,0,0,0,0,2.5,0,0.004,0.02,1,0.22,0,7,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"Oolong tea, brewed, without sugar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk)",0,7100,7100,0,590,0,0,0,0,130,0,0,0,0,0,0,0,50.9,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with water)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffee, ground",14400,40200,15400,0,19800,0,0,0,0,190,120,1.55,4.1,240,2.13,160,2020,74,0.79,0,0,0,2.7,0,0.07,0.2,15,0.23,0.001,0.022,0
"Coffee, powder, instant",15800,42600,1100,0,19100,200,41,200,0,98,151,0.12,4.41,359,1.71,327,3770,39,0.46,0,0,0,0,0,0.008,0.092,25.1,0.25,0.03,0.022,0
