name,protein,carbohydrate,fat,sugars,fibres,fa_saturated,fa_mono,fa_poly,cholesterol,salt,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,sodium,zinc,retinol,beta_carotene,vitamin_d,vitamin_e,vitamin_c,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12
"Tomato puree, canned",1400,7540,400,3640,2380,85,57,230,0,510,19.9,0.15,0.6,30,0.16,41.9,798,239,0.2,0,0,0,2.3,9,0.1,0.05,1.3,0.25,0.18,0.072,0
"Bamboo shoots, canned, drained",1610,1900,150,1150,1250,41,4,78,0,190,17,0.098,0.24,3.5,0.14,26.8,196,74.1,0.56,0,0.008,0,0.63,1.1,0.017,0.039,0.16,0.079,0.12,0.0025,0
"Broccoli, frozen, cooked",3100,2360,110,1470,3000,18,8,55,0,60,51,0.043,0.61,20,0.33,55,180,24,0.3,0,0.597,0,1.32,40.1,0.055,0.081,0.46,0.27,0.13,0.03,0
"Brussels sprout, frozen, cooked",3640,4220,390,2080,4100,81,30,200,0,38,26,0.034,0.48,18,0.21,56,290,15,0.24,0,0.555,0,0.51,45.7,0.1,0.11,0.54,0.34,0.29,0.101,0
"Carrot, frozen, cooked",580,4520,680,4080,3300,120,31,330,0,150,35,0.082,0.53,11,0.17,31,192,59,0.35,0,8.2,0,1.01,2.3,0.03,0.037,0.42,0.17,0.084,0.011,0
"Shiitake mushroom, cooked",1560,12300,220,3840,2100,50,70,34,0,10,3,0.9,0.44,14,0.2,29,117,4,1.33,0,0,0.0007,0,0.3,0.037,0.17,1.5,3.59,0.16,0.021,0
"Garden peas and carrots, frozen, cooked",3090,7020,420,4360,3100,77,35,200,0,170,23,0.076,0.94,16,0.2,49,158,68,0.45,0,4.73,0,0.52,8.1,0.23,0.064,1.15,0.16,0.087,0.026,0
"Snow pea, boiled/cooked in water",2400,3410,500,2400,1800,10,10,10,0,130,37,0.07,0.62,18,0.34,39,83,5,0.39,0,0.243,0.00025,0.83,13.9,0.067,0.01,0.24,0.23,0.038,0.0547,0
"Curly kale, cooked",1900,3630,400,1250,2000,52,30,190,0,58,72,0.16,0.9,18,0.42,28,228,23,0.24,0,0,0,0.85,41,0.053,0.07,0.5,0.049,0.14,0.013,0
"Chinese cabbage (nappa cabbage or bok choy), cooked",1530,750,170,750,1350,29,16,69,0,54,62.5,0.024,0.67,10.5,0.15,34,298,21.5,0.18,0,2.55,0,0.09,20.9,0.038,0.054,0.46,0.08,0.17,0.047,0
"Cardoon, cooked",760,3630,110,0,1700,12,20,44,0,440,72,0,0.73,43,0.13,23,392,176,0.18,0,0,0,0,1.7,0.018,0.031,0.29,0.097,0.042,0.022,0
"Tomato, pulp and peel, boiled/cooked in water",880,2800,210,2600,1050,28,31,83,0,17,9.73,0.055,0.49,7.53,0.096,21.7,182,6.68,0.12,0,0.503,0,0.56,16.9,0.035,0.02,0.47,0.14,0.066,0.0118,0
"Snow pea, cooked",3500,5920,380,4820,3100,73,39,170,0,13,59,0.09,2.4,28,0.28,58,217,5,0.49,0,0.76,0,0.47,22,0.064,0.12,0.56,0.86,0.17,0.035,0
"Shallot, cooked",2130,13500,500,6300,3400,0.2,0.2,0.2,0,31,28,0.11,0.34,14,0.15,76,400,12.5,0.32,0,0.01,0,0.12,2.25,0.53,0,0.17,0.22,0.19,0.0129,0
"French bean, puree",1700,4200,2900,1500,3300,1900,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegetables (3-4 types), mashed",2190,4020,2720,1810,4210,1770,620,140,0,610,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0
"Broccoli, puree",2500,2750,380,1650,2390,0,0,0,0,21,87,0,0.9,0,0,0,0,7.93,0,0,0,0,0,90,0,0,0,0,0,0,0
"Tomato coulis, canned (tomato puree semi-reduced 11%)",2050,8530,200,5500,2600,80,10,10,0,880,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carrots, puree",2100,8100,2000,4300,2700,1300,530,80,0,600,29,0,0.3,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0
"Courgettes, puree",2800,6500,1900,2300,1500,1300,0,0,0,600,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tomato paste, double concentrate, canned",3730,17000,290,16500,3620,0,0,0,0,930,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mixed diced vegetables, frozen",3480,6800,280,3350,5450,0,0,0,0,45,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweet pepper, red, canned, drained",910,4420,770,3640,1700,89,150,370,0,1140,25,0.098,0.63,12.5,0.12,19,156,440,0.15,0,1.53,0,1.65,109,0.042,0.03,0.51,0.079,0.23,0.034,0
"Celeriac, puree",1370,2830,180,2110,4010,0,0,0,0,130,50,0,0.5,0,0,0,0,54.5,0,0,0,0,0,8.3,0,0,0,0,0,0,0
"Green peas, puree",4800,8000,2800,3000,4800,1700,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spinach, puree",3700,5200,2200,1200,2200,1200,0,0,0,720,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0.094,0
"Tomato, roasted/baked, with skin",880,2870,600,2870,2200,140,110,260,0,13,10,0.05,0.25,13,0.23,30,300,5,0.15,0,0.359,0.00025,0.98,14.5,0.015,0.01,0.45,0.14,0.1,0.03,0
"Mixed vegetables for couscous, cooked",1530,2550,430,1100,2600,48,58,150,0,1060,39,0.1,0.7,15,0.2,38,208,45,0.3,0,2.75,0,0.38,18,0.05,0.04,0.41,0.17,0.12,0.026,0
"Vegetable, cooked (average)",1630,3780,270,2540,2470,56,20,100,0.0056,99,32,0.082,0.45,16.1,0.15,40.9,206,21.5,0.22,0,0.815,0.000012,0.4,10.2,0.039,0.064,0.47,0.18,0.068,0.0354,0
"Okra, cooked, without salt",1870,2010,210,2010,2500,45,28,46,0,15,77,0.085,0.28,36,0.29,32,135,6,0.43,0,0.17,0,0.27,16.3,0.13,0.055,0.87,0.21,0.19,0.046,0
"Onion, dried",8950,75000,460,37400,9200,78,64,180,0,53,257,0.42,1.55,92,1.39,303,1620,170,1.89,0,0.011,0,0.18,75,0.5,0.1,0.99,1.38,1.6,0.166,0
"Tomato, dried",14200,43300,2990,37600,12300,460,530,1210,0,620,110,1.42,9.09,194,1.85,356,3430,247,1.99,0,0.524,0,0.01,39.2,0.53,0.49,9.05,2.09,0.33,0.068,0
"Shiitake mushroom, dried",9580,63900,990,2210,11500,230,320,150,0,33,11,5.17,1.72,132,1.18,294,1530,13,7.66,0,0,0.0039,0,3.5,0.3,1.27,14.1,21.9,0.97,0.163,0
"Tomato, dried, in oil",4270,13400,11700,6500,5630,1320,5880,3540,0,2210,47,0.47,2.68,81,0.47,139,1570,1020,0.78,0,0,0,0,102,0.19,0.38,3.63,0.48,0.32,0.023,0
"Tapioca, raw",190,87800,20,3350,900,5,5,3,0,2.5,20,0.02,1.58,1,0.11,7,11,1,0.12,0,0,0,0,0,0.004,0,0,0.14,0.008,0.004,0
"Potato, peeled, baked",1950,20100,100,1700,1500,26,2,43,0,3.6,9.48,0.094,0.35,21.7,0.15,50,391,1.43,0.24,0,0,0,0.04,12.8,0.11,0.021,1.4,0.56,0.3,0.009,0
"Potato, boiled/cooked in water",1800,16700,340,860,1800,94,2,43,0,52,5.83,0.076,0.27,17.3,0.074,37.2,363,20.6,0.15,0,0.002,0,0.01,2.92,0.079,0.04,1.73,0.57,0.34,0.0311,0
Potato crisps,5670,51100,34300,1590,4570,3230,24200,2070,0.7,1650,27,0.22,1.2,66,0.35,140,1300,652,0.82,0.021,0.005,0.00025,12.3,8.26,0.13,0.014,19.4,0.85,0.44,0.0316,0
"Potato, peeled, raw",2160,15200,180,730,1800,38,7.3,95,0,16,14.3,0.079,0.91,22,0.11,56.2,418,0.44,0.35,0,0.001,0,0.055,18.9,0.068,0.048,1.33,0.34,0.25,0.026,0
"Potato, canned, drained",1470,11700,340,650,2200,55,5,90,0,150,25.4,0.051,1.26,9.4,0.071,28.8,229,60.6,0.18,0,0,0,0,5.1,0.068,0.013,0.92,0.35,0.19,0.006,0
"Mashed potato balls pre-fried, frozen, raw",2760,24900,7220,740,2820,1680,2850,1470,0,930,25.2,0.1,1,27.9,0.18,111,550,373,0.58,0,0.003,0,0.2,10.5,0.13,0.03,2.2,0.5,0.2,0.028,0
"Potato, steamed, vacuum-packed",1700,15400,200,400,1620,96,0,0,0,240,0,0,0,0,0,0,0,96.2,0,0,0,0,0,14.7,0,0,0,0,0,0,0
"Potato, sautéed/pan-fried",2330,20100,3450,760,2530,380,0,0,0,32,6.93,0.091,0,18.4,0.13,0,0,12.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0
"Potato flakes, dehydrated, with milk or cream",10600,69400,3970,4670,8000,1550,140,270,2,200,106,0.47,2.55,69.5,0.61,238,1510,78.1,1.3,0.017,0.01,0,0.03,22.3,0.19,0.24,6.35,1.31,1.03,0.03,0
"Potato puree, made from flakes, reconstituted with whole milk, with added fat",1920,10200,5180,1680,1470,1870,1770,940,6.67,560,38.7,0.025,0.19,16.3,0.11,52.3,184,223,0.2,0.0453,0.0307,0.0003,0.33,8.63,0.11,0.062,0.77,0.2,0.089,0.00733,0.00011
"Potato puree, with milk and butter, unsalted",1890,14200,2400,1410,1500,1460,600,130,6.5,110,31.1,0.061,0.21,15.2,0.066,45.5,260,44.9,0.22,0.022,0.0055,0.0002,0.07,6.1,0.088,0.041,1.1,0.48,0.23,0.008,0.00007
"Potato puree, made from flakes, reconstituted with semi-skimmed milk and water, unsalted",2630,12100,530,2200,1800,330,160,15,1.52,88,50.7,0.066,0.35,16.2,0.064,53.7,289,35,0.34,0.00554,0.003,0,0.2,3.2,0.045,0.1,0.92,0.28,0.14,0.0054,0.000082
"Dauphine potato, frozen, raw",4620,25600,17700,1960,2340,3980,5490,8060,0,1170,22.2,0.09,0.99,9.25,0.23,41.8,138,468,0.68,0,0,0,0,0,0,0,0,0,0,0,0
"Dauphine potato, frozen, cooked",4500,30200,17700,3500,2000,3390,4450,9090,51.7,1320,120,0.06,0.8,14,0.18,210,180,527,0.38,0.021,0.005,0.00025,6.6,0,0.08,0.071,0.31,0.75,0.11,0.0151,0.00039
"Potato flakes, dehydrated, plain",8040,76100,460,2350,10300,150,10,190,0,550,48.5,0.27,2.26,70.7,0.45,223,1130,220,1.05,0,0.006,0,0.03,59,0.59,0.21,5.23,1.21,0.8,0.038,0
"New potato, raw",1880,15900,300,200,1300,58,14,170,0,58,10,0,0.6,0,0,54,367,23,0.5,0,0,0,0.06,22,0.12,0.03,2.4,0,0.44,0.025,0
"Potato chip, quarter, spiced, frozen, cooked",2500,19800,5110,380,2420,1610,1850,1420,0.7,670,16,0.12,0.78,34,0.16,110,710,270,0.46,0.021,0.018,0.00025,1.61,1.35,0.22,0.032,0.18,0.2,0.29,0.0329,0
"Potato, roasted/baked",2500,18500,130,1180,2200,35,3,58,0,25,15,0.12,1.08,28,0.22,70,535,10,0.36,0,0.006,0,0.04,9.6,0.064,0.048,1.41,0.38,0.31,0.028,0
"Potato, pre-fried into cubes, frozen, cooked",2500,22000,4000,200,2200,2400,580,74,0,88,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ware potato, boiled/cooked in water, peeled",1810,15700,500,200,1900,0,0,0,0,10,6.5,0.07,0.31,17,0.1,40,390,5,0.23,0,0.005,0,0.1,3.78,0.062,0.01,0.61,0.37,0.17,0.00789,0.000074
"Early potato, boiled/cooked in water, peeled",1840,14900,100,0,2130,0,0,0,0,0,0,0.17,0.7,19.7,0,0,291,0,0.34,0,0,0,0,18.9,0,0,0,0,0.21,0.0538,0
"French fries or chips, frozen, roasted/baked",3750,32600,6600,400,4200,750,2240,3320,0.7,390,11,0.11,0.67,29,0.15,81,590,156,0.45,0.021,0.005,0.00025,7.64,2.38,0.097,0.018,1.15,0.52,0.52,0.0406,0
"French fries or chips, frozen, deep-fried",3280,34500,11900,690,3900,3490,5680,2160,0,73,23.8,0.12,0.9,23.3,0.16,106,684,29,0.36,0.002,0.003,0,0.44,19,0.11,0.059,2.57,0.43,0.37,0.0323,0.00004
"Duchesse potato, frozen, cooked",3440,29500,8500,400,4800,960,3670,3460,2.87,990,51,0.12,0.81,28,0.19,81,530,395,0.53,0.021,0.005,0.00025,2.33,0.5,0.092,0.051,0.34,0.42,0.26,0.0185,0
"Mashed potato balls pre-fried, frozen, cooked",2810,28500,6600,200,3400,940,2320,2770,0.7,870,27,0.09,0.61,22,0.14,59,420,347,0.39,0.021,0.005,0,1.29,0,0.18,0.033,0.66,0.46,0.17,0.0124,0.00007
"Potato, sautéed/pan-fried, with goose fat",2540,21900,12100,1590,2890,3170,0,0,0,670,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potato crisps, ""à l'ancienne"" (old-fashioned style)",5620,49800,37600,1380,4510,3530,27200,2490,0.72,1780,21,0.19,0.98,55,0.25,120,1100,702,0.6,0.021,0.005,0.00025,15.3,5.07,0.31,0.02,4.74,0.83,0.35,0.0273,0
"Potato crisps and related, reduced fat",6580,62100,19800,2490,5190,1940,15400,1500,1.01,1220,56,0.25,1.2,67,0.26,210,1300,487,0.87,0,0.00962,0,3.32,0,0.32,0.029,2.56,1.57,0.43,0.254,0.000049
Rostis or Potatoes cake,2130,21000,9470,680,2640,2530,3610,2920,15,1040,31,0.1,0.65,24,0.15,79,480,419,0.43,0.021,0.005,0.00025,2.71,0.63,0.069,0.045,2.3,0.46,0.18,0.0178,0
"Duchesse potato, frozen, raw",2800,23200,7720,730,2130,1330,2410,3940,0,930,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potato, pre-fried into cubes, frozen, raw",2320,20900,4200,420,2410,1140,990,1220,0,170,0,0,0,0,0,0,0,66,0,0,0,0,0,6,0,0,0,0,0,0,0
"French fries or chips, frozen, raw, intended to be roasted/baked",2410,23400,5090,350,2580,1560,1400,1920,0,280,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
"French fries or chips, frozen, raw, intended to be microwaved",3500,34000,10800,230,3830,1740,3320,4260,0,270,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"French fries or chips, frozen, raw, intended to be deep-fried",3120,29100,12100,480,3390,4090,0,0,0,120,20,0,1.8,0,0,0,0,57.9,0,0,0,0,0,6,0,0,0,0,0,0,0
Mashed potatoes (average),2150,12200,2700,1760,1590,1220,840,360,4.9,250,40.2,0.051,0.25,15.9,0.08,50.5,244,101,0.25,0.0243,0.0131,0.00017,0.2,5.98,0.081,0.068,0.93,0.32,0.15,0.00691,0.000086
"Potato, cooked (average food)",1970,17700,900,750,1950,160,0,0,0,23,7.33,0.082,0.35,18.7,0.11,43,390,9.26,0.21,0,0.00199,0,0.055,5.83,0.077,0.016,1.18,0.47,0.26,0.0166,0.00003
"Sweet potato, raw",1510,18300,150,5640,2870,64,3.5,48,0,98,37.5,0.15,0.76,20,0.26,47,373,39.3,0.25,0,8.51,0,0.26,2.4,0.072,0.061,0.56,0.8,0.19,0.011,0
"Sweet potato, cooked",1690,12200,150,6110,2900,42,2,77,0,79,32.5,0.13,0.71,22.5,0.38,43,353,31.5,0.26,0,10.5,0,0.83,16.2,0.082,0.077,1.01,0.73,0.23,0.006,0
"Sweet potato, puree, cooked with cream",1100,12100,2000,7500,4500,1400,0,0,0,560,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jerusalem artichoke, cooked",1800,16000,700,9600,2200,0,4,1,0,90,32.9,0.1,0.2,14.1,0.1,64,452,35.9,0.34,0,0.05,0,0.19,3.2,0.05,0.03,0.05,0.38,0.04,0.0443,0
"Jerusalem artichoke, raw",1940,11500,310,9600,2100,110,6.2,130,0,8.8,21,0.13,2,16.5,0.06,75.2,495,3.5,0.11,0,0.012,0,0.17,5,0.14,0.058,1.3,0.39,0.084,0.0245,0
"Plantain banana, cooked",790,28900,180,14000,2300,69,15,33,0,13,2,0.066,0.58,32,0,28,465,5,0.13,0,0.369,0,0.13,10.9,0.046,0.052,0.76,0.23,0.24,0.026,0
"Taro, tuber, raw",1500,22800,200,400,4100,41,16,83,0,28,43,0.17,0.55,33,0.38,84,591,11,0.23,0,0.035,0,2.38,4.5,0.095,0.025,0.6,0.3,0.28,0.022,0
"Taro, tuber, cooked",520,29500,110,490,5100,23,9,46,0,38,18,0.2,0.72,30,0.45,76,484,15,0.27,0,0.039,0,2.93,5,0.11,0.028,0.51,0.34,0.33,0.019,0
"Yam or Indian potato, peeled, raw",1530,23800,170,500,4100,37,6,76,0,23,17,0.18,0.54,21,0.4,55,816,9,0.24,0,0.083,0,0.35,17.1,0.11,0.032,0.55,0.31,0.29,0.023,0
"Yam or Indian potato, peeled, boiled/cooked in water",1490,23600,140,490,3900,29,5,60,0,20,14,0.15,0.52,18,0.37,49,670,8,0.2,0,0.073,0,0.34,12.1,0.095,0.028,0.55,0.31,0.23,0.016,0
"Cassava or manioc, roots, raw",1310,36300,290,1700,1800,74,75,48,0,35,16,0.1,0.27,21,0.38,27,271,14,0.34,0,0.008,0,0.19,20.6,0.087,0.048,0.85,0.11,0.088,0.027,0
"Cassava or manioc, roots, cooked",690,32000,43,0,400,0,0,0,0,0,12.1,0.018,0.6,0,0.038,40.5,0,0,0.35,0,0,0,0,13.1,0.023,0.018,0.47,0,0,0,0
"Breadfruit, raw",1070,22200,230,11000,4900,48,34,66,0,5,17,0.084,0.54,25,0.06,30,490,2,0.12,0,0,0,0.1,29,0.11,0.03,0.9,0.46,0.1,0.014,0
"Broad bean, cooked",6010,10400,450,1820,4500,100,50,230,0,57,27,0.16,1.5,37,0.34,99,231,23,0.74,0,0.009,0,0.02,10.1,0.11,0.09,0.96,0.11,0.051,0.081,0
"Haricot bean, cooked",6750,10300,1100,260,13800,250,150,610,0,23,120,0.19,1.7,33,0.8,110,260,9.3,0.67,0,0.00548,0.00025,0.08,0.5,0.03,0.017,0.32,0.061,0.039,0.0311,0
"Red kidney bean, cooked",9630,12100,600,500,11600,190,160,240,0,21,55,0.27,2.3,39,0.44,150,300,8.4,0.94,0,0.005,0.00025,0.08,0.5,0.12,0.022,0.25,0.083,0.067,0.0783,0
"Lentil, cooked",8600,12200,380,1800,7900,53,64,180,0,7.3,26.2,0.24,1.44,35.6,0.43,180,222,2,0.98,0,0.005,0,0.11,1.5,0.17,0.073,1.06,0.64,0.18,0.181,0
"Split pea, cooked",8460,16300,1490,3850,7950,160,330,660,0,8.2,24.7,0.19,2.09,20.9,0.28,134,327,4.5,0.65,0,0.01,0,0.19,0.85,0.15,0.06,0.71,0.44,0.094,0.119,0
"Chick pea, cooked",8310,17700,3000,300,8200,460,820,1590,0,27,72,0.24,1.3,44,0.86,140,170,10.9,1.1,0,0.013,0.00025,1.22,0.5,0.06,0.027,0.21,0.14,0.09,0.0844,0
"Flageolet bean, canned, drained",6100,12200,790,200,6300,110,16,140,0,730,63.1,0.1,1.3,26.5,0.1,86,281,293,0.1,0,0.05,0,0.37,1,0.07,0.16,0.79,0.05,0.05,0.023,0
"Lentil, seasoned, canned, drained",6280,11800,640,420,4000,110,150,260,0,590,21,0.12,1.67,15.8,0.4,82.7,178,230,0.55,0,0.025,0,0.19,0,0.083,0.043,0.43,0.2,0.12,0.011,0
"Haricot bean, canned, drained",6570,10900,400,520,7000,110,26,130,0,690,73,0.23,2.99,51,0.52,91,454,270,1.12,0,0,0,0.79,0,0.096,0.037,0.11,0.19,0.075,0.065,0
"Flageolet bean, cooked",6750,10300,1100,260,13800,250,150,610,0,23,120,0.19,1.7,33,0.8,110,260,9.3,0.67,0,0.00548,0.00025,0.08,0.5,0.03,0.017,0.32,0.061,0.039,0.0311,0
"Red kidney bean, canned, drained",8310,13000,970,1000,7000,410,52,350,0,680,58,0.28,1.5,29,0.38,118,250,269,0.74,0,0,0,0,0.2,0.06,0.015,0.42,0,0,0.023,0
"Mung bean, cooked",7540,11900,550,2010,6400,38,29,360,0,18,53,0.14,1.75,63,0.41,156,231,7,0.83,0,0.019,0,0.15,1,0.15,0.075,1.5,0.43,0.058,0.094,0
"Chick pea, canned, drained",6740,15000,2680,500,5450,300,470,920,0,540,41.2,0.21,1.15,27.5,0.67,82.5,135,216,0.93,0,0.0115,0,0.29,0.1,0.03,0.015,0.14,0.3,0.29,0.0365,0
"Flageolet bean, green, cooked",5630,15800,1100,500,16500,190,110,580,0.7,71,68,0.18,1.8,32,0.47,97,360,28.2,0.6,0,0.01,0.0005,0.08,0.5,0.072,0.02,0.31,0.065,0.064,0.0346,0
"Broad bean, without peal, frozen, water boiled",6400,9000,500,200,2900,110,80,280,0,18,31,0.17,1.3,22,0.18,97,97,7.2,0.62,0,0.0836,0.00025,0,0.5,0.043,0.038,0.57,0.28,0.042,0.0491,0
"Broad bean, frozen, water boiled",5600,7400,500,1000,5800,10,10,10,0,20,61,0.21,0.93,26,0.23,88,150,8,0.55,0,0.102,0.00025,0,0.5,0.061,0.055,0.98,0.13,0.038,0.0371,0
-,10100,15200,580,190,8450,93,130,180,0,15,39.5,0.25,2.45,34,0.44,160,215,5.8,1.25,0,0.0168,0.00025,0.53,0.5,0.094,0.022,0.52,0.24,0.11,0.0505,0
"Lentil, blond, cooked",9700,16300,700,400,6000,130,180,340,0,130,32,0.3,2.5,31,0.46,120,230,5,1.1,0,0.0136,0.00025,0,0.5,0.087,0.01,0.57,0.35,0.13,0.0431,0
"Lentil, pink or red, cooked",10600,15000,500,260,8200,90,130,280,0,130,21,0.29,2.2,25,0.39,110,190,5,1.3,0,0.0125,0.00025,0,0.5,0.12,0.01,0.47,0.24,0.082,0.023,0
"Legume, cooked (average)",8020,11700,600,1380,9400,110,93,300,0,14,51.9,0.23,1.55,34.9,0.52,156,236,5.18,0.88,0,0.00532,0.000037,0.086,1.54,0.13,0.057,0.83,0.44,0.13,0.133,0
"Broad bean, to shell, fresh",6760,4200,670,370,5850,130,61,330,0,94,29.5,0.24,1.73,35.5,0.49,112,291,37.5,0.79,0,0.196,0,1.16,18.4,0.15,0.2,1.87,0.16,0.071,0.122,0
"Lentils, sprouted",8860,19000,580,0,3100,61,110,230,0,28,25,0.35,3.21,37,0.51,173,322,11,1.51,0,0,0,0,16.5,0.23,0.13,1.13,0.58,0.19,0.1,0
"lupin grain, raw",36200,21500,9740,0,18900,1160,3940,2440,0,38,176,1.02,4.36,198,2.38,440,1010,15,4.75,0,0,0,0,4.8,0.64,0.22,2.19,0.75,0.36,0.355,0
"Broad bean, fresh, frozen",7500,7950,220,2150,3600,100,0,0,0.83,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flageolet bean, frozen",9320,12000,700,400,4400,100,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Broad bean, peeled, frozen, raw",14900,14900,300,2000,6500,0,0,0,0,38,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haricot bean, dry",19100,43900,1780,1920,16800,220,74,360,0,28,183,0.73,7.97,187,1.9,363,1660,11,3.23,0,0,0,0.28,2.04,0.44,0.15,0.48,0.86,0.41,0.307,0
"Lentil, dried",25400,50600,1340,1250,7630,130,190,530,0,210,45.4,0.71,6.51,62,1.39,326,674,74,3.17,0,0.023,0,0.49,4.5,0.69,0.21,2.3,1.75,0.55,0.257,0
"Split pea, dried",22800,52000,1440,2750,15800,230,220,750,0,51,37.4,0.75,5.16,65.5,1.21,364,969,15.4,3.68,0,0.089,0,0.09,1.4,0.77,0.2,2.69,1.88,0.12,0.154,0
"Chick pea, dried",20500,47500,5850,6500,13300,550,1340,2670,0,80,90.5,0.71,5.36,120,2.2,276,759,23.2,1.88,0,0.04,0,3.1,3.5,0.49,0.18,1.52,1.59,0.48,0.369,0
"Broad bean, dried",26100,33300,1530,5700,25000,250,300,630,0,33,103,0.82,6.7,192,1.63,421,1060,13,3.14,0,0.032,0,0.05,1.4,0.56,0.33,2.83,0.98,0.37,0.423,0
"Red kidney bean, dried",22500,46100,1060,2100,15200,150,82,590,0,30,83,0.7,6.69,138,1.11,406,1360,12,2.79,0,0,0,0.21,4.5,0.61,0.22,2.11,0.78,0.4,0.394,0
"Beans, mung, mature, seeds, dry",24500,47600,1420,0,16700,240,130,730,0,66,113,0.96,7.16,228,1.28,387,1110,26.5,3.02,0,0,0,1.9,12.2,0.45,0.24,1.85,0.55,0.39,0.421,0
"Lentil, pink or red, dried",27700,44900,800,1290,15400,140,230,370,0,130,29,0.82,6.3,74,1.2,330,750,5,3.9,0,0.0299,0.00025,0,0.5,0.32,0.018,1.42,1.05,0.41,0.124,0
"Flageolet bean, green, dried",19100,42100,2600,0,23400,350,240,1490,0.7,20,0,0.68,7.3,160,1.6,440,0,7.9,2.3,0,0.027,0.0005,0.08,0.5,0.31,0.03,1.93,0.68,0.41,0.121,0
"Lentil, green, dried",25100,44500,1800,1100,16400,240,450,950,0,130,64,0.6,6.3,97,1,480,940,5,3.4,0,0.0367,0.00025,0,1.63,0.29,0.046,1.98,1.34,0.35,0.117,0
"Lentil, blond, dried",26100,48300,1900,1400,12100,320,520,940,0,130,54,0.79,7.4,91,1.2,360,780,5,3,0,0.0307,0.00025,0,0.5,0.32,0.029,1.92,1.62,0.44,0.103,0
"Apricot, pitted, raw",1010,7140,350,6570,1800,24,150,68,0,2.5,16.1,0.082,0.19,9.94,0.071,22.5,229,1.11,0.14,0,1.09,0,0.89,10,0.03,0.04,0.6,0.24,0.054,0.009,0
"Pineapple, pulp, raw",520,11000,240,10400,1330,9,13,40,0,2.4,21.5,0.067,0.25,20.3,3.61,11,142,0.97,0.073,0,0.035,0,0.06,36.4,0.08,0.026,0.35,0.19,0.1,0.0151,0
"Banana, pulp, raw",980,19600,250,14800,1900,99,35,78,0,3.8,4.12,0.082,0.26,34.9,0.37,24.7,360,1.11,0.15,0,0.026,0,0.33,2.07,0.035,0.049,0.68,0.3,0.38,0.029,0
"Black currant, raw",1330,8030,860,8030,5800,140,71,460,0,6.3,57.1,0.093,1.17,23,0.28,53.5,330,2.5,0.28,0,0.1,0,2.1,181,0.038,0.038,0.3,0.4,0.073,0.0082,0
"Cherry, pitted, raw",1160,11600,250,11600,1700,55,70,77,0,5,15,0.088,0.17,11.2,0.056,24.5,200,2,0.054,0,0.038,0,0.14,8.5,0.026,0.032,0.18,0.23,0.047,0.006,0
"Lemon, pulp, raw",840,3100,700,2850,1200,150,39,320,0,3,13.7,0.034,0.34,8.54,0.015,18.4,157,0.99,0.054,0,0.003,0,0.48,51,0.043,0.025,0.15,0.21,0.07,0.0215,0
"Quince, raw",480,13400,100,6300,1900,8.5,32,43,0,10,11,0.13,0.7,8,0,17,197,4,0.04,0,0,0,0.55,15,0.02,0.03,0.2,0.081,0.04,0.003,0
"Fig, raw",850,14300,300,14300,2630,69,59,130,0,3.8,39,0.07,0.37,17,0.13,22.5,232,1,0.15,0,0.085,0,0.11,2,0.06,0.05,0.4,0.3,0.11,0.0075,0
"Strawberry, raw",650,6140,180,4730,1500,18,25,100,0,52,13.1,0.026,0.18,14.1,0.3,23.4,171,1.83,0.11,0,0.007,0,0.37,67.4,0.023,0.02,0.49,0.23,0.047,0.0705,0
"Raspberry, raw",1280,4260,360,4260,5990,12,40,230,0,2.5,25,0.09,0.69,22,0.67,29,151,1,0.42,0,0.012,0,0.53,26.2,0.032,0.038,0.6,0.33,0.055,0.021,0
